"Player","Tm","Att 20","Yds 20","TD 20","%Rush 20","Att 10","Yds 10","TD 10","%Rush 10","Att 5","Yds 5","TD 5","%Rush 5"
"Marshawn Lynch","SEA","3","2","1","4.3%","1","1","1","2.8%","1","1","1","5.9%"
"Cordarrelle Patterson","CHI","3","13","0","5.9%","2","10","0","6.1%","0","0","0","0.0%"
"Matt Ryan","ATL","3","10","1","5.5%","1","1","1","4.8%","1","1","1","9.1%"
"Mark Walton","MIA","3","-3","0","5.1%","2","-5","0","6.1%","2","-5","0","13.3%"
"Ameer Abdullah","MIN","2","14","0","2.2%","0","0","0","0.0%","0","0","0","0.0%"
"Jay Ajayi","PHI","2","2","0","2.7%","0","0","0","0.0%","0","0","0","0.0%"
"C.J. Anderson","DET","2","1","0","3.9%","0","0","0","0.0%","0","0","0","0.0%"
"Alex Armah","CAR","2","1","1","3.0%","2","1","1","5.0%","2","1","1","9.5%"
"Dalyn Dawkins","TEN","2","3","0","3.6%","0","0","0","0.0%","0","0","0","0.0%"
"Joe Flacco","DEN","2","3","0","3.4%","2","3","0","6.9%","1","1","0","7.1%"
"Taylor Gabriel","CHI","2","21","0","3.9%","0","0","0","0.0%","0","0","0","0.0%"
"Jakeem Grant","MIA","2","5","1","3.4%","2","5","1","6.1%","0","0","0","0.0%"
"C.J. Ham","MIN","2","-1","0","2.2%","2","-1","0","3.3%","2","-1","0","8.3%"
"Dwayne Haskins","WAS","2","18","0","4.5%","1","4","0","4.8%","0","0","0","0.0%"
"Darrell Henderson","LAR","2","4","0","2.5%","2","4","0","3.8%","0","0","0","0.0%"
"Tyreek Hill","KAN","2","10","0","3.0%","0","0","0","0.0%","0","0","0","0.0%"
"Buddy Howell","HOU","2","4","0","3.3%","1","1","0","3.3%","1","1","0","5.3%"
"Brett Hundley","ARI","2","18","0","3.4%","1","6","0","3.7%","0","0","0","0.0%"
"Richie James","SFO","2","-1","0","2.6%","1","-1","0","2.5%","0","0","0","0.0%"
"George Kittle","SFO","2","-5","0","2.6%","1","-2","0","2.5%","1","-2","0","4.5%"
"Drew Lock","DEN","2","-3","0","3.4%","0","0","0","0.0%","0","0","0","0.0%"
"D.J. Moore","CAR","2","9","0","3.0%","1","-3","0","2.5%","0","0","0","0.0%"
"Devine Ozigbo","JAX","2","3","0","3.2%","0","0","0","0.0%","0","0","0","0.0%"
"Elijhaa Penny","NYG","2","6","0","4.3%","2","6","0","6.7%","0","0","0","0.0%"
"Tony Pollard","DAL","2","26","1","2.6%","0","0","0","0.0%","0","0","0","0.0%"
"Troymaine Pope","LAC","2","-1","0","3.4%","0","0","0","0.0%","0","0","0","0.0%"
"Jalen Richard","OAK","2","7","0","3.2%","0","0","0","0.0%","0","0","0","0.0%"
"Mason Rudolph","PIT","2","2","0","3.4%","2","2","0","6.1%","0","0","0","0.0%"
"Deebo Samuel","SFO","2","21","1","2.6%","0","0","0","0.0%","0","0","0","0.0%"
"Wendell Smallwood","WAS","2","0","0","4.5%","0","0","0","0.0%","0","0","0","0.0%"
"Keith Smith","ATL","2","5","0","3.6%","0","0","0","0.0%","0","0","0","0.0%"
"Darren Sproles","PHI","2","6","0","2.7%","0","0","0","0.0%","0","0","0","0.0%"
"Matthew Stafford","DET","2","4","0","3.9%","1","4","0","2.9%","0","0","0","0.0%"
"Spencer Ware","KAN","2","6","0","3.0%","1","1","0","2.9%","0","0","0","0.0%"
"Kerrith Whyte","PIT","2","4","0","3.4%","1","-1","0","3.0%","0","0","0","0.0%"
"Albert Wilson","MIA","2","12","0","3.4%","0","0","0","0.0%","0","0","0","0.0%"
"Robert Woods","LAR","2","8","1","2.5%","2","8","1","3.8%","0","0","0","0.0%"
"T.J. Yeldon","BUF","2","2","0","2.9%","1","0","0","3.0%","0","0","0","0.0%"
"Brandon Allen","DEN","1","11","0","1.7%","0","0","0","0.0%","0","0","0","0.0%"
"Javorius Allen","NYG","1","1","1","2.1%","1","1","1","3.3%","1","1","1","7.7%"
"Tavon Austin","DAL","1","2","0","1.3%","0","0","0","0.0%","0","0","0","0.0%"
"Odell Beckham","CLE","1","11","0","1.5%","0","0","0","0.0%","0","0","0","0.0%"
"David Blough","DET","1","5","0","2.0%","1","5","0","2.9%","0","0","0","0.0%"
"Drew Brees","NOR","1","1","1","1.4%","1","1","1","2.8%","1","1","1","7.7%"
"Tra Carson","DET","1","2","0","2.0%","0","0","0","0.0%","0","0","0","0.0%"
"Keke Coutee","HOU","1","4","1","1.6%","1","4","1","3.3%","1","4","1","5.3%"
"Chase Daniel","CHI","1","2","0","2.0%","1","2","0","3.0%","0","0","0","0.0%"
"James Develin","NWE","1","1","0","1.3%","1","1","0","1.9%","1","1","0","3.8%"
"Gerald Everett","LAR","1","0","0","1.2%","1","0","0","1.9%","0","0","0","0.0%"
"Ted Ginn","NOR","1","5","0","1.4%","0","0","0","0.0%","0","0","0","0.0%"
"Will Grier","CAR","1","0","0","1.5%","0","0","0","0.0%","0","0","0","0.0%"
"Matt Haack","MIA","1","2","0","1.7%","1","2","0","3.0%","1","2","0","6.7%"
"DeAndre Hopkins","HOU","1","6","0","1.6%","1","6","0","3.3%","0","0","0","0.0%"
"Brian Hoyer","IND","1","6","0","1.4%","1","6","0","2.6%","0","0","0","0.0%"
"Andy Isabella","ARI","1","6","0","1.7%","0","0","0","0.0%","0","0","0","0.0%"
"Andy Janovich","DEN","1","1","1","1.7%","1","1","1","3.4%","1","1","1","7.1%"
"Alshon Jeffery","PHI","1","2","1","1.3%","1","2","1","2.5%","1","2","1","4.8%"
"Taiwan Jones","HOU","1","11","0","1.6%","0","0","0","0.0%","0","0","0","0.0%"
"Kyle Juszczyk","SFO","1","-1","0","1.3%","1","-1","0","2.5%","1","-1","0","4.5%"
"Travis Kelce","KAN","1","4","1","1.5%","1","4","1","2.9%","1","4","1","5.9%"
"Christian Kirk","ARI","1","6","0","1.7%","0","0","0","0.0%","0","0","0","0.0%"
"Zach Line","NOR","1","0","0","1.4%","1","0","0","2.8%","1","0","0","7.7%"
"T.J. Logan","TAM","1","2","0","1.8%","1","2","0","2.8%","1","2","0","5.0%"
"Eli Manning","NYG","1","0","0","2.1%","1","0","0","3.3%","0","0","0","0.0%"
"Sean Mannion","MIN","1","0","0","1.1%","0","0","0","0.0%","0","0","0","0.0%"
"A.J. McCarron","HOU","1","1","1","1.6%","1","1","1","3.3%","1","1","1","5.3%"
"Ty Montgomery","NYJ","1","0","0","3.1%","0","0","0","0.0%","0","0","0","0.0%"
"Chris Moore","BAL","1","0","0","1.0%","1","0","0","1.8%","1","0","0","3.6%"
"Matt Moore","KAN","1","-1","0","1.5%","0","0","0","0.0%","0","0","0","0.0%"
"Quenton Nelson","IND","1","0","0","1.4%","1","0","0","2.6%","1","0","0","5.3%"
"Senorise Perry","BUF","1","-1","0","1.5%","0","0","0","0.0%","0","0","0","0.0%"
"Philip Rivers","LAC","1","1","0","1.7%","1","1","0","2.8%","0","0","0","0.0%"
"Andre Roberts","BUF","1","7","0","1.5%","0","0","0","0.0%","0","0","0","0.0%"
"Ben Roethlisberger","PIT","1","7","0","1.7%","0","0","0","0.0%","0","0","0","0.0%"
"Sterling Shepard","NYG","1","-2","0","2.1%","1","-2","0","3.3%","0","0","0","0.0%"
"Anthony Sherman","KAN","1","5","0","1.5%","0","0","0","0.0%","0","0","0","0.0%"
"Steven Sims","WAS","1","4","0","2.3%","0","0","0","0.0%","0","0","0","0.0%"
"Jonnu Smith","TEN","1","4","0","1.8%","0","0","0","0.0%","0","0","0","0.0%"
"Vyncint Smith","NYJ","1","19","1","3.1%","0","0","0","0.0%","0","0","0","0.0%"
"Willie Snead","BAL","1","2","0","1.0%","0","0","0","0.0%","0","0","0","0.0%"
"Diontae Spencer","DEN","1","5","0","1.7%","0","0","0","0.0%","0","0","0","0.0%"
"Courtland Sutton","DEN","1","1","0","1.7%","1","1","0","3.4%","0","0","0","0.0%"
"Adam Thielen","MIN","1","1","1","1.1%","1","1","1","1.6%","1","1","1","4.2%"
"Danny Vitale","GNB","1","3","0","1.8%","0","0","0","0.0%","0","0","0","0.0%"
"Dwayne Washington","NOR","1","5","0","1.4%","0","0","0","0.0%","0","0","0","0.0%"
"Zach Zenner","NOR","1","1","0","1.4%","0","0","0","0.0%","0","0","0","0.0%"
