Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
Kendrick Bourne,WR,SF,ARI,5000,0,-9.83,18,8.18
Adrian Peterson,RB,DET,CHI,5000,0,-8.85,15.3,6.48
Willie Snead,WR,BAL,CLE,5000,0,-9.85,15.1,5.24
Taysom Hill,QB,NO,TB,5000,-1.3,-15.47,16.2,2.06
Tarik Cohen,RB,CHI,@DET,4900,3.8,-4.83,21.8,13.09
DeSean Jackson,WR,PHI,@WAS,4900,3.4,-6.24,23.4,13.71
D'Andre Swift,RB,DET,CHI,4900,2.7,-5.92,20.7,11.99
Rob Gronkowski,TE,TB,@NO,4900,2.2,-6.72,18.2,9.26
Hayden Hurst,TE,ATL,SEA,4900,1.9,-6.98,17.8,8.88
Breshad Perriman,WR,NYJ,@BUF,4900,0,-9.65,17.9,8.23
Danny Amendola,WR,DET,CHI,4800,1.2,-8.21,19.1,9.63
Steven Sims,WR,WAS,PHI,4800,1.1,-8.4,19.6,10.14
Eric Ebron,TE,PIT,@NYG,4800,1,-7.76,16.9,8.16
Boston Scott,RB,PHI,@WAS,4800,0.9,-7.57,19.2,10.75
Cole Beasley,WR,BUF,NYJ,4800,0.8,-8.7,19.1,9.61
Tony Pollard,RB,DAL,@LAR,4800,0.1,-8.36,17,8.47
Justin Jefferson,WR,MIN,GB,4800,0,-9.46,17.4,7.9
Benny Snell Jr.,RB,PIT,@NYG,4800,0,-8.5,16.2,7.68
Latavius Murray,RB,NO,TB,4700,1.2,-7.17,19.3,10.94
Greg Olsen,TE,SEA,@ATL,4700,0.8,-7.75,16.5,7.99
Robby Anderson,WR,CAR,LV,4700,0.7,-8.55,19.8,10.57
Darius Slayton,WR,NYG,PIT,4700,0.7,-8.61,20.1,10.87
Jalen Richard,RB,LV,@CAR,4700,0.3,-8.01,16.1,7.78
Tyler Eifert,TE,JAX,IND,4700,0.2,-8.4,15.4,6.85
Darrell Henderson,RB,LAR,DAL,4700,0,-8.32,13,4.64
